School Code,School Name,DET Geographic Region,Local Government Area,Centre Type,School Category,State Electorate,Collection Year
591,Abercorn State School,Central Queensland,North Burnett (R),State School,Primary,Callide,2013
1275,Abergowrie State School,North Queensland,Hinchinbrook (S),State School,Primary,Hinchinbrook,2013
25,Acacia Ridge State School,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2013
1983,Agnes Water State School,North Coast,Gladstone (R),State School,Primary,Burnett,2013
598,Airville State School,North Queensland,Burdekin (S),State School,Primary,Burdekin,2013
801,Aitkenvale State School,North Queensland,Townsville (C),State School,Primary,Mundingburra,2013
2155,Albany Creek State High School,Metropolitan,Moreton Bay (R),State High School,Secondary,Everton,2013
190,Albany Creek State School,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2013
1892,Albany Hills State School,Metropolitan,Moreton Bay (R),State School,Primary,Everton,2013
38,Albert State School,North Coast,Fraser Coast (R),State School,Primary,Maryborough,2013
2017,Aldridge State High School,North Coast,Fraser Coast (R),State High School,Secondary,Maryborough,2013
1963,Alexandra Bay State School,Far North Queensland,Cairns (R),State School,Primary,Cook,2013
2175,Alexandra Hills State High School,South East,Redland (C),State High School,Secondary,Capalaba,2013
405,Alexandra Hills State School,South East,Redland (C),State School,Primary,Capalaba,2013
1866,Algester State School,Metropolitan,Brisbane (C),State School,Primary,Algester,2013
155,Allenstown State School,Central Queensland,Rockhampton (R),State School,Primary,Rockhampton,2013
773,Alligator Creek State School,Central Queensland,Mackay (R),State School,Primary,Mirani,2013
3,Allora P-10 State School,Darling Downs South West,Southern Downs (R),State School,Combined,Southern Downs,2013
430,Alloway State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
870,Aloomba State School,Far North Queensland,Cairns (R),State School,Primary,Mulgrave,2013
517,Alpha State School,Central Queensland,Barcaldine (R),State School,Combined,Gregory,2013
1719,Amamoor State School,North Coast,Gympie (R),State School,Primary,Gympie,2013
115,Amberley District State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2013
1415,Ambrose State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
1629,Amiens State School,Darling Downs South West,Southern Downs (R),State School,Primary,Southern Downs,2013
474,Anakie State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
1572,Andergrove State School,Central Queensland,Mackay (R),State School,Primary,Mackay,2013
440,Annandale State School,North Queensland,Townsville (C),State School,Primary,Mundingburra,2013
1294,Applethorpe State School,Darling Downs South West,Southern Downs (R),State School,Primary,Southern Downs,2013
312,Aramac State School,Central Queensland,Barcaldine (R),State School,Combined,Gregory,2013
1266,Aratula State School,South East,Scenic Rim (R),State School,Primary,Beaudesert,2013
813,Arcadia Valley State School,Darling Downs South West,Central Highlands (R),State School,Primary,Gregory,2013
1997,Arundel State School,South East,Gold Coast (C),State School,Primary,Southport,2013
296,Ascot State School,Metropolitan,Brisbane (C),State School,Primary,Clayfield,2013
186,Ashgrove State School,Metropolitan,Brisbane (C),State School,Primary,Ashgrove,2013
1871,Ashmore State School,South East,Gold Coast (C),State School,Primary,Surfers Paradise,2013
512,Ashwell State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2013
1004,Aspley East State School,Metropolitan,Brisbane (C),State School,Primary,Aspley,2013
3031,Aspley Special School,Metropolitan,Brisbane (C),Special School,Special,Aspley,2013
2076,Aspley State High School,Metropolitan,Brisbane (C),State High School,Secondary,Aspley,2013
610,Aspley State School,Metropolitan,Brisbane (C),State School,Primary,Aspley,2013
2051,Atherton State High School,Far North Queensland,Tablelands (R),State High School,Secondary,Dalrymple,2013
789,Atherton State School,Far North Queensland,Tablelands (R),State School,Primary,Dalrymple,2013
357,Augathella State School,Darling Downs South West,Murweh (S),State School,Primary,Warrego,2013
7120,Augusta State School,Metropolitan,Ipswich (C),State School,Primary,Bundamba,2013
2078,Aviation High,Metropolitan,Brisbane (C),State High School,Secondary,Clayfield,2013
1901,Avoca State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
572,Avondale State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
908,Ayr East State School,North Queensland,Burdekin (S),State School,Primary,Burdekin,2013
2008,Ayr State High School,North Queensland,Burdekin (S),State High School,Secondary,Burdekin,2013
451,Ayr State School,North Queensland,Burdekin (S),State School,Primary,Burdekin,2013
1466,Babinda State School,Far North Queensland,Cairns (R),State School,Combined,Mulgrave,2013
317,Back Plains State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
906,Bajool State School,Central Queensland,Rockhampton (R),State School,Primary,Mirani,2013
1689,Balaclava State School,Far North Queensland,Cairns (R),State School,Primary,Cairns,2013
4,Bald Hills State School,Metropolitan,Brisbane (C),State School,Primary,Aspley,2013
1164,Ballandean State School,Darling Downs South West,Southern Downs (R),State School,Primary,Southern Downs,2013
2043,Balmoral State High School,Metropolitan,Brisbane (C),State High School,Secondary,Bulimba,2013
1367,Bambaroo State School,North Queensland,Hinchinbrook (S),State School,Primary,Hinchinbrook,2013
521,Banana State School,Central Queensland,Banana (S),State School,Primary,Callide,2013
1989,Banksia Beach State School,North Coast,Moreton Bay (R),State School,Primary,Pumicestone,2013
1605,Baralaba State School,Central Queensland,Banana (S),State School,Combined,Callide,2013
531,Barcaldine Prep-12 State School,Central Queensland,Barcaldine (R),State School,Combined,Gregory,2013
1041,Bardon State School,Metropolitan,Brisbane (C),State School,Primary,Mount Coot-tha,2013
702,Bargara State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
777,Barkly Highway State School,North Queensland,Mount Isa (C),State School,Primary,Mount Isa,2013
3056,Barrett Adolescent Centre Special School,Metropolitan,Brisbane (C),Special School,Special,Yeerongpilly,2013
1730,Bartle Frere State School,Far North Queensland,Cairns (R),State School,Primary,Mulgrave,2013
387,Bauhinia State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
966,Bauple State School,North Coast,Fraser Coast (R),State School,Primary,Maryborough,2013
1798,Bay View State School,South East,Redland (C),State School,Primary,Cleveland,2013
1961,Beachmere State School,North Coast,Moreton Bay (R),State School,Primary,Pumicestone,2013
1672,Beaconsfield State School,Central Queensland,Mackay (R),State School,Primary,Mackay,2013
2083,Beaudesert State High School,South East,Scenic Rim (R),State High School,Secondary,Beaudesert,2013
158,Beaudesert State School,South East,Scenic Rim (R),State School,Primary,Beaudesert,2013
1019,Bedourie State School,Central Queensland,Diamantina (S),State School,Primary,Mount Isa,2013
681,Beechmont State School,South East,Scenic Rim (R),State School,Primary,Beaudesert,2013
3051,Beenleigh Special School,South East,Logan (C),Special School,Special,Albert,2013
2084,Beenleigh State High School,South East,Logan (C),State High School,Secondary,Waterford,2013
6,Beenleigh State School,South East,Logan (C),State School,Primary,Waterford,2013
1598,Beerburrum State School,North Coast,Sunshine Coast (R),State School,Primary,Glass House,2013
2109,Beerwah State High School,North Coast,Sunshine Coast (R),State High School,Secondary,Caloundra,2013
569,Beerwah State School,North Coast,Sunshine Coast (R),State School,Primary,Caloundra,2013
187,Begonia State School,Darling Downs South West,Maranoa (R),State School,Primary,Warrego,2013
509,Belgian Gardens State School,North Queensland,Townsville (C),State School,Primary,Townsville,2013
781,Bell State School,Darling Downs South West,Western Downs (R),State School,Combined,Condamine,2013
1768,Bellenden Ker State School,Far North Queensland,Cairns (R),State School,Primary,Mulgrave,2013
1925,Bellevue Park State School,South East,Gold Coast (C),State School,Primary,Surfers Paradise,2013
226,Belmont State School,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2013
393,Benaraby State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
1631,Benarkin State School,Darling Downs South West,South Burnett (R),State School,Primary,Nanango,2013
2150,Benowa State High School,South East,Gold Coast (C),State High School,Secondary,Surfers Paradise,2013
481,Benowa State School,South East,Gold Coast (C),State School,Primary,Surfers Paradise,2013
452,Bentley Park College,Far North Queensland,Cairns (R),State School,Combined,Mulgrave,2013
1867,Berrinba East State School,South East,Logan (C),State School,Primary,Woodridge,2013
1546,Berserker Street State School,Central Queensland,Rockhampton (R),State School,Primary,Rockhampton,2013
996,Biboohra State School,Far North Queensland,Tablelands (R),State School,Primary,Cook,2013
1663,Biddeston State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
666,Biggenden State School,Central Queensland,North Burnett (R),State School,Combined,Callide,2013
65,Biggera Waters State School,South East,Gold Coast (C),State School,Primary,Broadwater,2013
2085,Biloela State High School,Central Queensland,Banana (S),State High School,Secondary,Callide,2013
1822,Biloela State School,Central Queensland,Banana (S),State School,Primary,Callide,2013
1397,Binjour Plateau State School,Central Queensland,North Burnett (R),State School,Primary,Callide,2013
1679,Birdsville State School,Central Queensland,Diamantina (S),State School,Primary,Mount Isa,2013
1915,Birkdale South State School,South East,Redland (C),State School,Primary,Capalaba,2013
1545,Birkdale State School,South East,Redland (C),State School,Primary,Capalaba,2013
299,Blackall State School,Central Queensland,Blackall Tambo (R),State School,Combined,Gregory,2013
739,Blackbutt State School,Darling Downs South West,South Burnett (R),State School,Primary,Nanango,2013
1891,Blackwater North State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
2134,Blackwater State High School,Central Queensland,Central Highlands (R),State High School,Secondary,Gregory,2013
396,Blackwater State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
1565,Blair State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2013
316,Blenheim State School,Darling Downs South West,Lockyer Valley (R),State School,Primary,Lockyer,2013
952,Bli Bli State School,North Coast,Sunshine Coast (R),State School,Primary,Nicklin,2013
1173,Bloomfield River State School,Far North Queensland,Cook (S),State School,Primary,Cook,2013
981,Bloomsbury State School,Central Queensland,Mackay (R),State School,Primary,Whitsunday,2013
612,Bluewater State School,North Queensland,Townsville (C),State School,Primary,Hinchinbrook,2013
344,Bluff State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
1299,Bohlevale State School,North Queensland,Townsville (C),State School,Primary,Hinchinbrook,2013
425,Bollon State School,Darling Downs South West,Balonne (S),State School,Primary,Warrego,2013
2105,Boonah State High School,South East,Scenic Rim (R),State High School,Secondary,Beaudesert,2013
333,Boonah State School,South East,Scenic Rim (R),State School,Primary,Beaudesert,2013
1603,Boondall State School,Metropolitan,Brisbane (C),State School,Primary,Nudgee,2013
1542,Booyal Central State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
1981,Boronia Heights State School,South East,Logan (C),State School,Primary,Algester,2013
899,Bororen State School,Central Queensland,Gladstone (R),State School,Primary,Burnett,2013
57,Bouldercombe State School,Central Queensland,Rockhampton (R),State School,Primary,Mirani,2013
595,Boulia State School,North Queensland,Boulia (S),State School,Primary,Mount Isa,2013
6134,Bounty Boulevard State School,North Coast,Moreton Bay (R),State School,Primary,Murrumba,2013
2065,Bowen State High School,North Queensland,Whitsunday (R),State High School,Secondary,Burdekin,2013
10,Bowen State School,North Queensland,Whitsunday (R),State School,Primary,Burdekin,2013
815,Bowenville State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
1191,Boyne Island State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
1465,Boynewood State School,Central Queensland,North Burnett (R),State School,Primary,Callide,2013
2118,Bracken Ridge State High School,Metropolitan,Brisbane (C),State High School,Secondary,Sandgate,2013
772,Bracken Ridge State School,Metropolitan,Brisbane (C),State School,Primary,Sandgate,2013
466,Brandon State School,North Queensland,Burdekin (S),State School,Primary,Burdekin,2013
1066,Branyan Road State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
571,Brassall State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich West,2013
2173,Bray Park State High School,North Coast,Moreton Bay (R),State High School,Secondary,Pine Rivers,2013
339,Bray Park State School,North Coast,Moreton Bay (R),State School,Primary,Pine Rivers,2013
2050,Bremer State High School,Metropolitan,Ipswich (C),State High School,Secondary,Ipswich,2013
2181,Bribie Island State High School,North Coast,Moreton Bay (R),State High School,Secondary,Pumicestone,2013
540,Bribie Island State School,North Coast,Moreton Bay (R),State School,Primary,Pumicestone,2013
1133,Brigalow State School,Darling Downs South West,Western Downs (R),State School,Primary,Warrego,2013
1669,Brighton State School,Metropolitan,Brisbane (C),State School,Primary,Sandgate,2013
7573,Brightwater State School,North Coast,Sunshine Coast (R),State School,Primary,Buderim,2013
2104,Brisbane Bayside State College,Metropolitan,Brisbane (C),State High School,Secondary,Lytton,2013
207,Brisbane Central State School,Metropolitan,Brisbane (C),State School,Primary,Brisbane Central,2013
3605,Brisbane School of Distance Education,Metropolitan,Brisbane (C),School of Distance Education,Combined,Greenslopes,2013
2003,Brisbane State High School,Metropolitan,Brisbane (C),State High School,Secondary,South Brisbane,2013
2294,Brisbane Youth Education and Training Centre,Metropolitan,Brisbane (C),School of Distance Education,Combined,Inala,2013
1381,Broadbeach State School,South East,Gold Coast (C),State School,Primary,Mermaid Beach,2013
1071,Broadwater State School,Darling Downs South West,Southern Downs (R),State School,Primary,Southern Downs,2013
16,Brookfield State School,Metropolitan,Brisbane (C),State School,Primary,Moggill,2013
311,Brookstead State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
1035,Brooweena State School,North Coast,Fraser Coast (R),State School,Primary,Maryborough,2013
2164,Browns Plains State High School,South East,Logan (C),State High School,Secondary,Logan,2013
1922,Browns Plains State School,South East,Logan (C),State School,Primary,Logan,2013
1939,Bucasia State School,Central Queensland,Mackay (R),State School,Primary,Whitsunday,2013
1888,Buddina State School,North Coast,Sunshine Coast (R),State School,Primary,Kawana,2013
223,Buderim Mountain State School,North Coast,Sunshine Coast (R),State School,Primary,Buderim,2013
1124,Builyan State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
17,Bulimba State School,Metropolitan,Brisbane (C),State School,Primary,Bulimba,2013
962,Bullyard State School,North Coast,Bundaberg (R),State School,Primary,Callide,2013
18,Bundaberg Central State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
497,Bundaberg East State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
2019,Bundaberg North State High School,North Coast,Bundaberg (R),State High School,Secondary,Bundaberg,2013
161,Bundaberg North State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
637,Bundaberg South State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
3029,Bundaberg Special School,North Coast,Bundaberg (R),Special School,Special,Bundaberg,2013
2004,Bundaberg State High School,North Coast,Bundaberg (R),State High School,Secondary,Bundaberg,2013
1836,Bundaberg West State School,North Coast,Bundaberg (R),State School,Primary,Bundaberg,2013
19,Bundamba State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2013
2130,Bundamba State Secondary College,Metropolitan,Ipswich (C),State High School,Secondary,Bundamba,2013
1508,Bungunya State School,Darling Downs South West,Goondiwindi (R),State School,Primary,Southern Downs,2013
853,Bunker's Hill State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
894,Buranda State School,Metropolitan,Brisbane (C),State School,Primary,South Brisbane,2013
3003,Burdekin School,North Queensland,Burdekin (S),Special School,Special,Burdekin,2013
530,Burketown State School,North Queensland,Burke (S),State School,Primary,Mount Isa,2013
1568,Burleigh Heads State School,South East,Gold Coast (C),State School,Primary,Burleigh,2013
319,Burnett Heads State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
2089,Burnett State College,Central Queensland,North Burnett (R),State High School,Secondary,Callide,2013
2145,Burnside State High School,North Coast,Sunshine Coast (R),State High School,Secondary,Nicklin,2013
1873,Burnside State School,North Coast,Sunshine Coast (R),State School,Primary,Nicklin,2013
5553,Burpengary Meadows State School,North Coast,Moreton Bay (R),State School,Primary,Morayfield,2013
601,Burpengary State School,North Coast,Moreton Bay (R),State School,Primary,Morayfield,2013
1129,Burra Burri State School,Darling Downs South West,Western Downs (R),State School,Primary,Warrego,2013
1966,Burrowes State School,South East,Logan (C),State School,Primary,Woodridge,2013
1427,Butchers Creek State School,Far North Queensland,Tablelands (R),State School,Primary,Dalrymple,2013
379,Bwgcolman Community School,North Queensland,Palm Island (S),Community School,Combined,Townsville,2013
1318,Byfield State School,Central Queensland,Rockhampton (R),State School,Primary,Keppel,2013
1047,Bymount East State School,Darling Downs South West,Maranoa (R),State School,Primary,Warrego,2013
1903,Caboolture East State School,North Coast,Moreton Bay (R),State School,Primary,Pumicestone,2013
3045,Caboolture Special School,North Coast,Moreton Bay (R),Special School,Special,Morayfield,2013
2066,Caboolture State High School,North Coast,Moreton Bay (R),State High School,Secondary,Pumicestone,2013
369,Caboolture State School,North Coast,Moreton Bay (R),State School,Primary,Pumicestone,2013
3601,Cairns School of Distance Education,Far North Queensland,Cairns (R),School of Distance Education,Combined,Cairns,2013
2005,Cairns State High School,Far North Queensland,Cairns (R),State High School,Secondary,Cairns,2013
1522,Cairns West State School,Far North Queensland,Cairns (R),State School,Primary,Cairns,2013
1699,Calamvale Community College,Metropolitan,Brisbane (C),State School,Combined,Stretton,2013
3055,Calamvale Special School,Metropolitan,Brisbane (C),Special School,Special,Stretton,2013
1550,Calen District State College,Central Queensland,Mackay (R),State School,Combined,Whitsunday,2013
20,Calliope State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
2116,Caloundra State High School,North Coast,Sunshine Coast (R),State High School,Secondary,Caloundra,2013
859,Caloundra State School,North Coast,Sunshine Coast (R),State School,Primary,Caloundra,2013
196,Cambooya State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
483,Cameron Downs State School,North Queensland,Flinders (S),State School,Primary,Mount Isa,2013
352,Camira State School,Metropolitan,Ipswich (C),State School,Primary,Inala,2013
714,Camooweal State School,North Queensland,Mount Isa (C),State School,Primary,Mount Isa,2013
1854,Camp Hill State Infants and Primary School,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2013
1967,Caningeraba State School,South East,Gold Coast (C),State School,Primary,Burleigh,2013
1476,Cannon Hill State School,Metropolitan,Brisbane (C),State School,Primary,Bulimba,2013
589,Cannonvale State School,North Queensland,Whitsunday (R),State School,Primary,Whitsunday,2013
566,Canungra State School,South East,Scenic Rim (R),State School,Primary,Beaudesert,2013
5534,Capalaba State College,South East,Redland (C),State School,Combined,Capalaba,2013
8009,Cape York Aboriginal Australian Academy,Far North Queensland,Cairns (R),State School,Primary,Cairns,2013
2182,Capella State High School,Central Queensland,Central Highlands (R),State High School,Secondary,Gregory,2013
410,Capella State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
3612,Capricornia (Emerald Campus) School of Distance Education,Central Queensland,Central Highlands (R),School of Distance Education,Combined,Gregory,2013
927,Caravonica State School,Far North Queensland,Cairns (R),State School,Primary,Barron River,2013
278,Carbrook State School,South East,Logan (C),State School,Primary,Redlands,2013
136,Cardwell State School,Far North Queensland,Cassowary Coast (R),State School,Primary,Hinchinbrook,2013
1552,Carina State School,Metropolitan,Brisbane (C),State School,Primary,Chatsworth,2013
1806,Carmila State School,Central Queensland,Isaac (R),State School,Primary,Mirani,2013
1044,Carole Park State School,Metropolitan,Brisbane (C),State School,Primary,Inala,2013
2025,Cavendish Road State High School,Metropolitan,Brisbane (C),State High School,Secondary,Greenslopes,2013
135,Cawarral State School,Central Queensland,Rockhampton (R),State School,Primary,Keppel,2013
734,Cecil Plains State School,Darling Downs South West,Toowoomba (R),State School,Combined,Southern Downs,2013
160,Cedar Creek State School,South East,Gold Coast (C),State School,Primary,Albert,2013
2121,Centenary Heights State High School,Darling Downs South West,Toowoomba (R),State High School,Secondary,Toowoomba South,2013
1668,Centenary State High School,Metropolitan,Brisbane (C),State High School,Secondary,Mount Ommaney,2013
2282,Chancellor State College,North Coast,Sunshine Coast (R),State School,Combined,Kawana,2013
1872,Chapel Hill State School,Metropolitan,Brisbane (C),State School,Primary,Moggill,2013
3602,Charleville School of Distance Education,Darling Downs South West,Murweh (S),School of Distance Education,Combined,Warrego,2013
2068,Charleville State High School,Darling Downs South West,Murweh (S),State High School,Secondary,Warrego,2013
185,Charleville State School,Darling Downs South West,Murweh (S),State School,Primary,Warrego,2013
823,Charlton State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
215,Charters Towers Central State School,North Queensland,Charters Towers (R),State School,Primary,Dalrymple,2013
3610,Charters Towers School of Distance Education,North Queensland,Charters Towers (R),School of Distance Education,Combined,Dalrymple,2013
2006,Charters Towers State High School,North Queensland,Charters Towers (R),State High School,Secondary,Dalrymple,2013
1924,Chatswood Hills State School,South East,Logan (C),State School,Primary,Springwood,2013
915,Chatsworth State School,North Coast,Gympie (R),State School,Primary,Gympie,2013
677,Chelona State School,Central Queensland,Mackay (R),State School,Primary,Mirani,2013
989,Cherbourg State School,Darling Downs South West,Cherbourg (S),State School,Primary,Callide,2013
1722,Chevallum State School,North Coast,Sunshine Coast (R),State School,Primary,Glass House,2013
568,Childers State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
866,Chillagoe State School,Far North Queensland,Tablelands (R),State School,Primary,Cook,2013
2087,Chinchilla State High School,Darling Downs South West,Western Downs (R),State High School,Secondary,Warrego,2013
244,Chinchilla State School,Darling Downs South West,Western Downs (R),State School,Primary,Warrego,2013
1789,Churchill State School,Metropolitan,Ipswich (C),State School,Primary,Ipswich,2013
171,Clare State School,North Queensland,Burdekin (S),State School,Primary,Burdekin,2013
3066,Claremont Special School,Metropolitan,Ipswich (C),Special School,Special,Ipswich,2013
1732,Clarendon State School,Metropolitan,Somerset (R),State School,Primary,Ipswich West,2013
606,Clarke Creek State School,Central Queensland,Isaac (R),State School,Primary,Mirani,2013
2185,Clermont State High School,Central Queensland,Isaac (R),State High School,Secondary,Gregory,2013
21,Clermont State School,Central Queensland,Isaac (R),State School,Primary,Gregory,2013
2070,Cleveland District State High School,South East,Redland (C),State High School,Secondary,Cleveland,2013
3160,Cleveland Education and Training Centre,North Queensland,Townsville (C),School of Distance Education,Combined,Townsville,2013
22,Cleveland State School,South East,Redland (C),State School,Primary,Cleveland,2013
3087,Clifford Park Special School,Darling Downs South West,Toowoomba (R),Special School,Special,Toowoomba South,2013
2111,Clifton State High School,Darling Downs South West,Toowoomba (R),State High School,Secondary,Condamine,2013
687,Clifton State School,Darling Downs South West,Toowoomba (R),State School,Primary,Condamine,2013
172,Clinton State School,Central Queensland,Gladstone (R),State School,Primary,Gladstone,2013
411,Cloncurry State School,North Queensland,Cloncurry (S),State School,Combined,Mount Isa,2013
2091,Clontarf Beach State High School,North Coast,Moreton Bay (R),State High School,Secondary,Redcliffe,2013
162,Clontarf Beach State School,North Coast,Moreton Bay (R),State School,Primary,Redcliffe,2013
2345,Clover Hill State School,South East,Gold Coast (C),State School,Primary,Mudgeeraba,2013
1254,Cloyna State School,Darling Downs South West,South Burnett (R),State School,Primary,Callide,2013
1225,Coalstoun Lakes State School,Central Queensland,North Burnett (R),State School,Primary,Callide,2013
1956,Collingwood Park State School,Metropolitan,Ipswich (C),State School,Primary,Bundamba,2013
2171,Collinsville State High School,North Queensland,Whitsunday (R),State High School,Secondary,Burdekin,2013
1691,Collinsville State School,North Queensland,Whitsunday (R),State School,Primary,Burdekin,2013
173,Comet State School,Central Queensland,Central Highlands (R),State School,Primary,Gregory,2013
24,Condamine State School,Darling Downs South West,Western Downs (R),State School,Primary,Warrego,2013
439,Coningsby State School,Central Queensland,Mackay (R),State School,Primary,Whitsunday,2013
1352,Conondale State School,North Coast,Sunshine Coast (R),State School,Primary,Glass House,2013
177,Cooktown State School,Far North Queensland,Cook (S),State School,Combined,Cook,2013
638,Coolabunia State School,Darling Downs South West,South Burnett (R),State School,Primary,Nanango,2013
1630,Coolangatta State School,South East,Gold Coast (C),State School,Primary,Currumbin,2013
1927,Coolnwynpin State School,South East,Redland (C),State School,Primary,Capalaba,2013
2165,Coolum State High School,North Coast,Sunshine Coast (R),State High School,Secondary,Noosa,2013
1571,Coolum State School,North Coast,Sunshine Coast (R),State School,Primary,Maroochydore,2013
2166,Coombabah State High School,South East,Gold Coast (C),State High School,Secondary,Broadwater,2013
1909,Coombabah State School,South East,Gold Coast (C),State School,Primary,Broadwater,2013
7122,Coomera Rivers State School,South East,Gold Coast (C),State School,Primary,Coomera,2013
5730,Coomera Springs State School,South East,Gold Coast (C),State School,Primary,Albert,2013
124,Coomera State School,South East,Gold Coast (C),State School,Primary,Coomera,2013
1359,Coominya State School,Metropolitan,Somerset (R),State School,Primary,Nanango,2013
1247,Coopers Plains State School,Metropolitan,Brisbane (C),State School,Primary,Sunnybank,2013
602,Cooran State School,North Coast,Sunshine Coast (R),State School,Primary,Gympie,2013
1165,Cooroy State School,North Coast,Sunshine Coast (R),State School,Primary,Nicklin,2013
2077,Coorparoo Secondary College,Metropolitan,Brisbane (C),State High School,Secondary,Greenslopes,2013
219,Coorparoo State School,Metropolitan,Brisbane (C),State School,Primary,Greenslopes,2013
32,Coowonga State School,Central Queensland,Rockhampton (R),State School,Primary,Keppel,2013
1084,Cooyar State School,Darling Downs South West,Toowoomba (R),State School,Primary,Nanango,2013
1898,Coppabella State School,Central Queensland,Isaac (R),State School,Primary,Mirani,2013
117,Cordalba State School,North Coast,Bundaberg (R),State School,Primary,Burnett,2013
2055,Corinda State High School,Metropolitan,Brisbane (C),State High School,Secondary,Mount Ommaney,2013
1025,Corinda State School,Metropolitan,Brisbane (C),State School,Primary,Mount Ommaney,2013
2023,Craigslea State High School,Metropolitan,Brisbane (C),State High School,Secondary,Aspley,2013
60,Craigslea State School,Metropolitan,Brisbane (C),State School,Primary,Aspley,2013
1907,Cranbrook State School,North Queensland,Townsville (C),State School,Primary,Mundingburra,2013
399,Crawford State School,Darling Downs South West,South Burnett (R),State School,Primary,Nanango,2013
762,Crescent Lagoon State School,Central Queensland,Rockhampton (R),State School,Primary,Rockhampton,2013
1928,Crestmead State School,South East,Logan (C),State School,Primary,Woodridge,2013
293,Crow's Nest State School,Darling Downs South West,Toowoomba (R),State School,Combined,Nanango,2013
165,Croydon State School,Far North Queensland,Croydon (S),State School,Primary,Mount Isa,2013
289,Cunnamulla P-12 State School,Darling Downs South West,Paroo (S),State School,Combined,Warrego,2013
355,Currajong State School,North Queensland,Townsville (C),State School,Primary,Mundingburra,2013
3054,Currimundi Special School,North Coast,Sunshine Coast (R),Special School,Special,Caloundra,2013
1868,Currimundi State School,North Coast,Sunshine Coast (R),State School,Primary,Caloundra,2013
3043,Currumbin Community Special School,South East,Gold Coast (C),Special School,Special,Currumbin,2013
1168,Currumbin State School,South East,Gold Coast (C),State School,Primary,Currumbin,2013
775,Currumbin Valley State School,South East,Gold Coast (C),State School,Primary,Currumbin,2013
892,Dagun State School,North Coast,Gympie (R),State School,Primary,Gympie,2013
1022,Daintree State School,Far North Queensland,Cairns (R),State School,Primary,Cook,2013
1670,Dajarra State School,North Queensland,Cloncurry (S),State School,Primary,Mount Isa,2013
2142,Dakabin State High School,North Coast,Moreton Bay (R),State High School,Secondary,Kallangur,2013
1988,Dakabin State School,North Coast,Moreton Bay (R),State School,Primary,Kallangur,2013
671,Dalby South State School,Darling Downs South West,Western Downs (R),State School,Primary,Condamine,2013
2033,Dalby State High School,Darling Downs South West,Western Downs (R),State High School,Secondary,Condamine,2013
28,Dalby State School,Darling Downs South West,Western Downs (R),State School,Primary,Condamine,2013
950,Dallarnil State School,Central Queensland,North Burnett (R),State School,Primary,Callide,2013
318,Dalveen State School,Darling Downs South West,Southern Downs (R),State School,Primary,Southern Downs,2013
1900,Darling Heights State School,Darling Downs South West,Toowoomba (R),State School,Primary,Toowoomba South,2013
3025,Darling Point Special School,Metropolitan,Brisbane (C),Special School,Special,Lytton,2013
520,Darlington State School,South East,Scenic Rim (R),State School,Primary,Beaudesert,2013
1520,Darra State School,Metropolitan,Brisbane (C),State School,Primary,Inala,2013
191,Dayboro State School,North Coast,Moreton Bay (R),State School,Primary,Pine Rivers,2013
