School_No,School_Name,School_Type,Suburb,State,Postcode,Phone_No,LGA_ID,LGA_Name,Latitude,Longtitude,Education_Sector,Entity_Type,Address
1436,Mount Pleasant Primary School,Primary,Ballarat,VIC,3350,03 5332 3646,57,Ballarat (C),143.8581493,-37.5779428,Government,1,401 Cobden Street
1441,Tatura Primary School,Primary,Tatura,VIC,3616,03 5824 1684,283,Greater Shepparton (C),145.229923,-36.444966,Government,1,28-40 Albert Street P O Box 256
1455,Toolamba Primary School,Primary,Toolamba,VIC,3614,03 5826 5212,283,Greater Shepparton (C),145.344182,-36.490521,Government,1,69-77 Wren Street
1458,Harston Primary School,Primary,Tatura,VIC,3616,03 5854 8317,283,Greater Shepparton (C),145.141754,-36.469859,Government,1,155 Harston Road
1463,Osbornes Flat Primary School,Primary,Osbornes Flat,VIC,3691,02 6027 1415,335,Indigo (S),146.892571,-36.31716,Government,1,354 Osbornes Flat Road 354 OSBORNES FLAT ROAD
1464,Frankston Primary School,Primary,Frankston,VIC,3199,03 9783 3769,217,Frankston (C),145.1240309,-38.14755735,Government,1,Davey Street
1465,Donald Primary School,Primary,Donald,VIC,3480,03 5497 1581,127,Buloke (S),142.984628,-36.367208,Government,1,Walker Street P O Box 115
1476,Beveridge Primary School,Primary,Beveridge,VIC,3753,03 9745 2264,485,Mitchell (S),144.977755,-37.472062,Government,1,Arrowsmith Street
1479,St Kilda Primary School,Primary,St Kilda,VIC,3182,03 9534 3993,590,Port Phillip (C),144.989019,-37.870223,Government,1,2B Brighton Road 2B BRIGHTON ROAD
1484,Cape Clear Primary School,Primary,Cape Clear,VIC,3351,03 5342 2252,249,Golden Plains (S),143.6082053,-37.79195536,Government,1,1539 Scarsdale-pitfield Road 1539 Scarsdale-Pitfield Road
1485,Warburton Primary School,Primary,Warburton,VIC,3799,03 5966 2010,745,Yarra Ranges (S),145.7017044,-37.75580451,Government,1,16 Horners Road P O Box 575
1488,Tallarook Primary School,Primary,Tallarook,VIC,3659,03 5792 1752,485,Mitchell (S),145.10067,-37.096764,Government,1,52 Main Road
1489,Barnawartha Primary School,Primary,Barnawartha,VIC,3688,02 6026 7227,335,Indigo (S),146.675889,-36.101309,Government,1,11-17 Stanely Street
1490,Fitzroy North Primary School,Primary,Fitzroy North,VIC,3068,03 9481 5860,735,Yarra (C),144.984149,-37.78502,Government,1,Fergie Street
1492,Ashby Primary School,Primary,Geelong West,VIC,3218,03 5223 1291,275,Greater Geelong (C),144.347375,-38.138701,Government,1,2 Lawton Avenue
1494,Preston Primary School,Primary,Preston,VIC,3072,03 9470 1167,189,Darebin (C),145.01031,-37.730548,Government,1,240 Tyler Street
1503,Tooradin Primary School,Primary,Tooradin,VIC,3980,03 5998 3321,161,Casey (C),145.378493,-38.207631,Government,1,Bayview Road P O Box 205
1508,Glenferrie Primary School,Primary,Hawthorn,VIC,3122,03 9818 4338,111,Boroondara (C),145.033857,-37.824042,Government,1,78 - 98 Manningtree Road
1515,Elmore Primary School,Primary,Elmore,VIC,3558,03 5432 6247,262,Greater Bendigo (C),144.608912,-36.497198,Government,1,36 Michie Street
1527,Dookie Primary School,Primary,Dookie,VIC,3646,03 5828 6585,283,Greater Shepparton (C),145.682794,-36.331067,Government,1,Baldock Street
1542,Brighton Primary School,Primary,Brighton,VIC,3186,03 9592 0177,91,Bayside (C),145.002234,-37.911753,Government,1,59 Wilson Street
1548,Natimuk Primary School,Primary,Natimuk,VIC,3409,03 5387 1367,319,Horsham (RC),141.950496,-36.741235,Government,1,38 Old Noradjuha Road P O Box 139
1549,Murtoa College,Pri/Sec,Murtoa,VIC,3390,03 5385 2381,763,Yarriambiack (S),142.475745,-36.623495,Government,1,Webb Street P O Box 156
1551,Big Hill Primary School,Primary,Big Hill,VIC,3555,03 5447 7022,262,Greater Bendigo (C),144.24247,-36.830583,Government,1,5644 Calder Highway
1552,Clunes Primary School,Primary,Clunes,VIC,3370,03 5345 3182,291,Hepburn (S),143.7921149,-37.2907506,Government,1,Canterbury Street
1554,Marnoo Primary School,Primary,Marnoo,VIC,3387,03 5359 2313,581,Northern Grampians (S),142.870353,-36.676853,Government,1,Newall Street P O Box 59
1560,Beechworth Primary School,Primary,Beechworth,VIC,3747,03 5728 1066,335,Indigo (S),146.693567,-36.355433,Government,1,17 Junction Road P O Box 203
1563,Ardmona Primary School,Primary,Ardmona,VIC,3629,03 5829 0273,283,Greater Shepparton (C),145.313066,-36.385458,Government,1,580 Turnbull Road
1568,Kilmore Primary School,Primary,Kilmore,VIC,3764,03 5782 1268,485,Mitchell (S),144.947521,-37.295768,Government,1,35 Lancefield Road P O BOX 105
1571,Macarthur Primary School,Primary,Macarthur,VIC,3286,03 5576 1245,549,Moyne (S),142.001473,-38.030878,Government,1,23 Russell Street P O Box 36
1574,Barwon Heads Primary School,Primary,Barwon Heads,VIC,3227,03 5254 2324,275,Greater Geelong (C),144.487039,-38.281189,Government,1,Golf Links Road PO Box 1337
1578,Keilor Primary School,Primary,Keilor,VIC,3036,03 9336 7098,118,Brimbank (C),144.835704,-37.716896,Government,1,25 Kennedy Street P O Box 110
1582,Dunolly Primary School,Primary,Dunolly,VIC,3472,03 5468 1111,167,Central Goldfields (S),143.733581,-36.851552,Government,1,8 Elgin Street P O Box 47
1583,Springhurst Primary School,Primary,Springhurst,VIC,3682,03 5726 5291,670,Wangaratta (RC),146.468103,-36.184673,Government,1,121 Anzac Road P O Box 21
1585,Dixons Creek Primary School,Primary,Dixons Creek,VIC,3775,03 5965 2282,745,Yarra Ranges (S),145.413517,-37.59234,Government,1,Melba Highway
1588,Trentham District Primary School,Primary,Trentham,VIC,3458,03 5424 1364,291,Hepburn (S),144.3280953,-37.38796656,Government,1,8 Bridge Street
1591,Warrenheip Primary School,Primary,Warrenheip,VIC,3352,03 5334 7294,57,Ballarat (C),143.9279491,-37.57391565,Government,1,93 Warrenheip Road
1592,Maiden Gully Primary School,Primary,Maiden Gully,VIC,3551,03 5449 6429,262,Greater Bendigo (C),144.210192,-36.744472,Government,1,10 Carolyn Way C/- Post Office
1595,Rupanyup Primary School,Primary,Rupanyup,VIC,3388,03 5385 5125,763,Yarriambiack (S),142.628612,-36.632224,Government,1,22 Dyer Street 22 Dyer St.
1598,Goornong Primary School,Primary,Goornong,VIC,3557,03 5432 2236,262,Greater Bendigo (C),144.505155,-36.616872,Government,1,26 Grant Street P O Box 199
1601,Oakleigh Primary School,Primary,Oakleigh,VIC,3166,03 9568 0558,497,Monash (C),145.088615,-37.894474,Government,1,20 Warrigal Road
1602,Ceres Primary School,Primary,Ceres,VIC,3221,03 5249 1382,275,Greater Geelong (C),144.266732,-38.173549,Government,1,605 Barrabool Road
1604,Malvern Central School,Primary,Malvern,VIC,3144,03 8823 9500,635,Stonnington (C),145.034401,-37.856009,Government,1,Spring Road
1609,Daylesford Primary School,Primary,Daylesford,VIC,3460,03 5348 2480,291,Hepburn (S),144.1415552,-37.34510484,Government,1,102-128 Vincent Street P O Box 20
1612,Mooroopna North Primary School,Primary,Mooroopna,VIC,3629,03 5829 0141,283,Greater Shepparton (C),145.298488,-36.329139,Government,1,835 Ardmona Road
1631,Swan Reach Primary School,Primary,Swan Reach,VIC,3903,03 5156 4287,211,East Gippsland (S),147.864786,-37.821077,Government,1,21 School Road C/O POST OFFICE
1637,Amphitheatre Primary School,Primary,Amphitheatre,VIC,3468,03 5466 2223,599,Pyrenees (S),143.399236,-37.184128,Government,1,16 School Road C/O Post Office
1642,Deans Marsh Primary School,Primary,Deans Marsh,VIC,3235,03 5236 3264,649,Surf Coast (S),143.8857511,-38.39987507,Government,1,30 Deans Marsh-Lorne Road
1645,Drysdale Primary School,Primary,Drysdale,VIC,3222,03 5251 2272,275,Greater Geelong (C),144.571747,-38.169163,Government,1,52-66 Clifton Springs Rd P O Box 122
1646,St Arnaud Primary School,Primary,St Arnaud,VIC,3478,03 5495 1028,581,Northern Grampians (S),143.257542,-36.6102,Government,1,Charlton Road P O Box 124
1652,Nullawarre and District Primary School,Primary,Nullawarre,VIC,3268,03 5566 5267,549,Moyne (S),142.734429,-38.466755,Government,1,132 Henry's Sawmill Road
1660,Macedon Primary School,Primary,Macedon,VIC,3440,03 5426 1518,413,Macedon Ranges (S),144.5626788,-37.41869064,Government,1,67 Smith Street P O Box 181
1666,Arthurs Creek Primary School,Primary,Arthurs Creek,VIC,3099,03 9714 8204,571,Nillumbik (S),145.2025016,-37.57900478,Government,1,900 Arthurs Creek Road 900 Arthurs Creek Rd
1667,Rye Primary School,Primary,Rye,VIC,3941,03 5985 2363,534,Mornington Peninsula (S),144.823824,-38.373116,Government,1,Lyons St P O Box 170
1669,Buxton Primary School,Primary,Buxton,VIC,3711,03 5774 7341,562,Murrindindi (S),145.709051,-37.421398,Government,1,2208 Maroondah Highway
1683,Moonambel Primary School,Primary,Moonambel,VIC,3478,03 5467 2223,599,Pyrenees (S),143.320743,-36.989858,Government,1,24 Humffray Street
1687,Baringhup Primary School,Primary,Baringhup,VIC,3463,03 5475 2574,543,Mount Alexander (S),143.967824,-36.977004,Government,1,Mitchell Street RSD
1694,Longford Primary School,Primary,Longford,VIC,3851,03 5149 7210,681,Wellington (S),147.088411,-38.169564,Government,1,6380 South Gippsland Highway 6380 South Gippsland Hwy
