School_No,School_Name,School_Type,Suburb,State,Postcode,Phone_No,LGA_ID,LGA_Name,Latitude,Longtitude,Education_Sector,Entity_Type,Address
3058,Halls Gap Primary School,Primary,Halls Gap,VIC,3381,03 5356 4235,581,Northern Grampians (S),142.51743,-37.137482,Government,1,10-14 School Road P O Box
3067,Tallygaroopna Primary School,Primary,Tallygaroopna,VIC,3634,03 5829 8264,283,Greater Shepparton (C),145.436316,-36.238614,Government,1,24-34 Victoria Street
3074,Ormond Primary School,Primary,Ormond,VIC,3204,03 9578 1327,231,Glen Eira (C),145.033669,-37.907001,Government,1,Cnr Murray & Wheatley Roads P O Box 465
3077,Korumburra Primary School,Primary,Korumburra,VIC,3950,03 5655 1309,617,South Gippsland (S),145.825636,-38.435133,Government,1,6 - 16 Mine Road Private Bag 1
3080,Crib Point Primary School,Primary,Crib Point,VIC,3919,03 5983 9282,534,Mornington Peninsula (S),145.200539,-38.360484,Government,1,70 Milne Street
3081,Pascoe Vale Primary School,Primary,Pascoe Vale,VIC,3044,03 9354 1611,525,Moreland (C),144.93763,-37.731221,Government,1,362 Gaffney Street
3098,Flowerdale Primary School,Primary,Flowerdale,VIC,3717,03 5780 1264,562,Murrindindi (S),145.291361,-37.316923,Government,1,3377 Whittlesea Yea Road RMB 6525 Yea Road
3100,Ocean Grove Primary School,Primary,Ocean Grove,VIC,3226,03 5255 1340,275,Greater Geelong (C),144.521852,-38.263993,Government,1,1 - 23 Draper Street
3109,Beulah Primary School,Primary,Beulah,VIC,3395,03 5390 2332,763,Yarriambiack (S),142.418256,-35.944942,Government,1,Henty Highway
3110,Merri Creek Primary School,Primary,Fitzroy North,VIC,3068,03 9481 0177,735,Yarra (C),144.987386,-37.776966,Government,1,Miller Street
3113,Sunshine Primary School,Primary,Sunshine,VIC,3020,03 8311 5700,118,Brimbank (C),144.831101,-37.790881,Government,1,Cnr Hampshire & Derby Roads
3129,Tyabb Primary School,Primary,Tyabb,VIC,3913,03 5977 4584,534,Mornington Peninsula (S),145.166617,-38.260794,Government,1,186 Mornington-Tyabb Road
3139,Wales Street Primary School,Primary,Thornbury,VIC,3071,03 9484 3949,189,Darebin (C),145.008833,-37.76151,Government,1,"Wales Street Wales Street,"
3145,Upper Sandy Creek Primary School,Primary,Sandy Creek,VIC,3695,02 6071 8526,335,Indigo (S),147.112896,-36.355178,Government,1,1037 Sandy Creek Road
3146,Spensley Street Primary School,Primary,Clifton Hill,VIC,3068,03 9481 4666,735,Yarra (C),145.003879,-37.786794,Government,1,193 Spensley Street
3161,Kew East Primary School,Primary,Kew East,VIC,3102,03 9859 2903,111,Boroondara (C),145.049151,-37.796473,Government,1,35 Kitchener Street
3163,Nichols Point Primary School,Primary,Nichols Point,VIC,3501,03 5023 1633,478,Mildura (RC),142.204635,-34.2088,Government,1,"110 Koorlong Avenue 110 Koorlong Avenue,"
3174,Irymple Primary School,Primary,Irymple,VIC,3498,03 5024 5334,478,Mildura (RC),142.15908,-34.226605,Government,1,15th Street P O Box 715
3179,Brunswick East Primary School,Primary,Brunswick East,VIC,3057,03 9387 3361,525,Moreland (C),144.979403,-37.765104,Government,1,195a Stewart Street
3215,Eagle Point Primary School,Primary,Eagle Point,VIC,3878,03 5156 6382,211,East Gippsland (S),147.680216,-37.892449,Government,1,43 School Road
3216,Yarra Junction Primary School,Primary,Yarra Junction,VIC,3797,03 5967 1544,745,Yarra Ranges (S),145.6060798,-37.779029,Government,1,2370 Warburton Highway P O Box 109
3222,Sassafras Primary School,Primary,Sassafras,VIC,3787,03 9755 1203,745,Yarra Ranges (S),145.3552887,-37.86083457,Government,1,399 Mt Dandenong Tourist Road
3228,Ferny Creek Primary School,Primary,Ferny Creek,VIC,3786,03 9755 1522,745,Yarra Ranges (S),145.3347256,-37.8842124,Government,1,School Road
3237,Toolangi Primary School,Primary,Toolangi,VIC,3777,03 5962 9255,562,Murrindindi (S),145.472501,-37.535374,Government,1,Main Road
3241,Wonga Park Primary School,Primary,Wonga Park,VIC,3115,03 9722 1325,421,Manningham (C),145.273999,-37.730641,Government,1,Dudley Road
3255,Kinglake West Primary School,Primary,Kinglake West,VIC,3757,03 5786 5262,562,Murrindindi (S),145.259597,-37.481303,Government,1,1041-1061 Whittlesea-Kinglake Rd 1041-1061Whittlesea-KinglakeRd
3261,Perseverance Primary School,Primary,French Island,VIC,3921,03 5980 1292,939,Unincorporated Vic,145.3334052,-38.38337735,Government,1,CentrewayTankerton C/- Crib Point Primary School
3265,Monbulk Primary School,Primary,Monbulk,VIC,3793,03 9756 6481,745,Yarra Ranges (S),145.4102612,-37.87685153,Government,1,1 Main Road P O Box 231
3278,Lake Boga Primary School,Primary,Lake Boga,VIC,3584,03 5036 9000,661,Swan Hill (RC),143.63207,-35.464511,Government,1,8 Williams Street P O Box 137
3279,Chum Creek Primary School,Primary,Chum Creek,VIC,3777,03 5962 5391,745,Yarra Ranges (S),145.4892499,-37.60595782,Government,1,705 Chum Creek Road
3284,Mount Dandenong Primary School,Primary,Mount Dandenong,VIC,3767,03 9751 1136,745,Yarra Ranges (S),145.362166,-37.83074276,Government,1,Farndons Road P O Box 179
3301,Nullawil Primary School,Primary,Nullawil,VIC,3529,03 5493 5260,127,Buloke (S),143.179119,-35.852732,Government,1,Church Street P O Box 41
3309,Badger Creek Primary School,Primary,Healesville,VIC,3777,03 5962 4019,745,Yarra Ranges (S),145.5327681,-37.68005402,Government,1,Badger Creek Rd P O Box 477
3315,Middle Kinglake Primary School,Primary,Kinglake Central,VIC,3757,03 5786 1295,562,Murrindindi (S),145.315679,-37.505206,Government,1,1 Extons Road RSD 1 Extons Road
3322,Point Lonsdale Primary School,Primary,Point Lonsdale,VIC,3225,03 5258 1501,608,Queenscliffe (B),144.621455,-38.274154,Government,1,22 Bowen Road P O Box 87
3323,Kongwak Primary School,Primary,Kongwak,VIC,3951,03 5657 4224,617,South Gippsland (S),145.712865,-38.515106,Government,1,1445 Wonthaggi Korumburra Road P O Box 159
3336,Clarinda Primary School,Primary,Clarinda,VIC,3169,03 9544 3231,343,Kingston (C),145.102506,-37.926973,Government,1,1166 Centre Road
3341,Chelsea Heights Primary School,Primary,Chelsea Heights,VIC,3196,03 9772 4139,343,Kingston (C),145.138991,-38.044683,Government,1,194 Thames Promenade
3345,Wallington Primary School,Primary,Wallington,VIC,3222,03 5250 1841,275,Greater Geelong (C),144.506509,-38.2178,Government,1,608 - 610 Wallington Road 610 Wallington Road
3356,Tecoma Primary School,Primary,Tecoma,VIC,3160,03 9754 2354,745,Yarra Ranges (S),145.3449218,-37.90695837,Government,1,1536 Burwood Highway
3368,Torquay P-6 College,Primary,Torquay,VIC,3228,03 5261 2360,649,Surf Coast (S),144.3123081,-38.32176711,Government,1,45-55 Grossmans Road
3372,Noorinbee Primary School,Primary,Noorinbee,VIC,3890,03 5158 6281,211,East Gippsland (S),149.16894,-37.516355,Government,1,594 Monaro Highway 594 Monaro Hwy
3373,Woomelang Group School,Primary,Woomelang,VIC,3485,03 5081 2191,763,Yarriambiack (S),142.667723,-35.681377,Government,1,4 Roberts Street P O Box 4
3381,Emerald Primary School,Primary,Emerald,VIC,3782,03 5968 4311,145,Cardinia (S),145.4424276,-37.93338297,Government,1,10 Heroes Avenue
3385,Carrum Primary School,Primary,Carrum,VIC,3197,03 9772 1117,343,Kingston (C),145.126499,-38.078092,Government,1,Walkers Road PO Box 156
3401,Nyora Primary School,Primary,Nyora,VIC,3987,03 5659 6240,617,South Gippsland (S),145.674891,-38.336244,Government,1,Grundy Avenue
3423,Exford Primary School,Primary,Exford,VIC,3338,03 9743 5025,465,Melton (C),144.558791,-37.745287,Government,1,1137 Exford Road R.S.D. Exford Road
3426,Ultima Primary School,Primary,Ultima,VIC,3544,03 5039 6101,661,Swan Hill (RC),143.266171,-35.476233,Government,1,Cnr Cameron & O'Connor Street BOX 76
3432,Mount Waverley Primary School,Primary,Mount Waverley,VIC,3149,03 9807 1480,497,Monash (C),145.124091,-37.880907,Government,1,37-45 Park Lane 37 - 45 Park Lane
3433,Marlo Primary School,Primary,Marlo,VIC,3888,03 5154 8236,211,East Gippsland (S),148.535038,-37.796269,Government,1,Jorgensen Street P O Box 64
3449,Murrumbeena Primary School,Primary,Murrumbeena,VIC,3163,03 9568 1300,231,Glen Eira (C),145.070409,-37.88617,Government,1,Hobart Road
3466,Wesburn Primary School,Primary,Wesburn,VIC,3799,03 5967 1302,745,Yarra Ranges (S),145.6470677,-37.76869153,Government,1,2850 Warburton Highway P O Box 492
3470,Koorlong Primary School,Primary,Koorlong,VIC,3501,03 5025 7205,478,Mildura (RC),142.08485,-34.278056,Government,1,3645 Benetook Ave c/- Post Office
3476,Warranwood Primary School,Primary,Warranwood,VIC,3134,03 9876 6066,441,Maroondah (C),145.246981,-37.774347,Government,1,1 Wellington Park Drive
3479,Willowmavin Primary School,Primary,Willowmavin,VIC,3764,03 5782 1319,485,Mitchell (S),144.888229,-37.259424,Government,1,690 Willowmavin Road
3494,Olinda Primary School,Primary,Olinda,VIC,3788,03 9751 1181,745,Yarra Ranges (S),145.3661919,-37.85469614,Government,1,45 Charlemont Lane
3497,Carlisle River Primary School,Primary,Carlisle River,VIC,3239,03 5235 0261,175,Colac-Otway (S),143.395026,-38.563929,Government,1,49 Moomowroong Road
3505,Spring Gully Primary School,Primary,Bendigo,VIC,3550,03 5443 7230,262,Greater Bendigo (C),144.284363,-36.793403,Government,1,104-110 Spring Gully Road P O Box 310
3515,Mallacoota P-12 College,Pri/Sec,Mallacoota,VIC,3892,03 5158 0254,211,East Gippsland (S),149.754296,-37.559427,Government,1,25 Bucknall Street Locked Bag 1001
3531,Langwarrin Primary School,Primary,Langwarrin,VIC,3910,03 9789 7346,217,Frankston (C),145.189632,-38.160372,Government,1,90 Warrandyte Road
3535,Cockatoo Primary School,Primary,Cockatoo,VIC,3781,03 5968 8017,145,Cardinia (S),145.4962066,-37.93929904,Government,1,19-33 Belgrave-Gembrook Road 19 - 33 Belgrave Gembrook Road
3544,Tyabb Railway Station Primary School,Primary,Tyabb,VIC,3913,03 5977 4324,534,Mornington Peninsula (S),145.192835,-38.262148,Government,1,88 The Crescent
3551,Belgrave South Primary School,Primary,Belgrave South,VIC,3160,03 9754 2505,745,Yarra Ranges (S),145.3579203,-37.93119813,Government,1,175 Colby Drive
3552,Baltara School,Special,Thomastown,VIC,3074,03 9465 2405,707,Whittlesea (C),145.0242041,-37.67973726,Government,1,"27 Waratah Street 27 Waratah Street,"
3559,Sydenham - Hillside Primary School,Primary,Sydenham,VIC,3037,03 9361 5300,118,Brimbank (C),144.7620961,-37.70218173,Government,1,Community Hub
3572,Canterbury Primary School,Primary,Canterbury,VIC,3126,03 9836 4537,111,Boroondara (C),145.083713,-37.83105953,Government,1,Molesworth Street
3581,The Lake Primary School,Primary,Cabarita,VIC,3505,03 5023 3468,478,Mildura (RC),142.093145,-34.205917,Government,1,225 Seventeenth Street P O Box 62
3584,Grey Street Primary School (Traralgon),Primary,Traralgon,VIC,3844,03 5174 2055,381,Latrobe (C),146.537121,-38.193048,Government,1,30 - 44 Grey Street P O Box 370
3585,Brunswick North Primary School,Primary,Brunswick West,VIC,3055,03 9383 1400,525,Moreland (C),144.950631,-37.759858,Government,1,Pearson Street
3590,Fawkner Primary School,Primary,Fawkner,VIC,3060,03 9357 3579,525,Moreland (C),144.973528,-37.715887,Government,1,Lorne Street P O Box 123
3599,Alphington Primary School,Primary,Alphington,VIC,3078,03 9499 2200,735,Yarra (C),145.032006,-37.783523,Government,1,Yarralea Street
3605,Austin Hospital School,Special,Heidelberg,VIC,3084,03 9496 5324,66,Banyule (C),145.058287,-37.755435,Government,1,145 Studley Road
3612,Bona Vista Primary School,Primary,Bona Vista,VIC,3820,03 5627 8435,83,Baw Baw (S),145.95991,-38.210521,Government,1,520 Bona Vista Road
3613,Banyan Fields Primary School,Primary,Carrum Downs,VIC,3201,03 9782 1333,217,Frankston (C),145.187192,-38.094766,Government,1,90 Cadles Road P O Box 8844
3618,Norris Bank Primary School,Primary,Bundoora,VIC,3083,03 9467 2206,707,Whittlesea (C),145.0426341,-37.6945118,Government,1,146 Settlement Road
3620,Macclesfield Primary School,Primary,Macclesfield,VIC,3782,03 5968 4734,745,Yarra Ranges (S),145.4753695,-37.88979216,Government,1,405 Macclesfield Road
3631,Black Rock Primary School,Primary,Black Rock,VIC,3193,03 9598 2293,91,Bayside (C),145.021651,-37.969869,Government,1,71 Arkaringa Crescent P O Box 168
3642,Mount Evelyn Primary School,Primary,Mount Evelyn,VIC,3796,03 9736 2233,745,Yarra Ranges (S),145.3888224,-37.79092979,Government,1,33 Monbulk Road P O Box 249
3645,Kilsyth Primary School,Primary,Kilsyth,VIC,3137,03 9725 4320,745,Yarra Ranges (S),145.3149427,-37.80210649,Government,1,Durham Road
3650,Wonthaggi Primary School,Primary,Wonthaggi,VIC,3995,03 5672 1600,74,Bass Coast (S),145.588636,-38.607947,Government,1,18 Billson Street Private Mail Bag 101
3659,Spotswood Primary School,Primary,Spotswood,VIC,3015,03 9391 1323,311,Hobsons Bay (C),144.881921,-37.830627,Government,1,Melbourne Road P O Box 2135
3664,Clyde Primary School,Primary,Clyde,VIC,3978,03 5998 5293,161,Casey (C),145.326386,-38.132323,Government,1,13 Oroya Grove
3675,Noble Park Primary School,Primary,Noble Park,VIC,3174,03 9546 8811,267,Greater Dandenong (C),145.173906,-37.970627,Government,1,65 Buckley Street P O Box 412
3680,Deepdene Primary School,Primary,Balwyn,VIC,3103,03 9817 1917,111,Boroondara (C),145.061285,-37.808475,Government,1,958a Burke Road
3684,Clifton Creek Primary School,Primary,Clifton Creek,VIC,3875,03 5157 9251,211,East Gippsland (S),147.659395,-37.70208,Government,1,1020 Deptford Road 1020 Deptford Rd
3686,Kennington Primary School,Primary,Kennington,VIC,3550,03 5443 2011,262,Greater Bendigo (C),144.307972,-36.768376,Government,1,60 Crook Street P O Box 45
3689,Cardinia Primary School,Primary,Cardinia,VIC,3978,03 5998 8323,145,Cardinia (S),145.423852,-38.14572553,Government,1,2405 Ballarto Road
3696,Grahamvale Primary School,Primary,Grahamvale,VIC,3631,03 5821 4219,283,Greater Shepparton (C),145.430716,-36.357202,Government,1,85 Grahamvale Road
3702,Irymple South Primary School,Primary,Irymple,VIC,3498,03 5024 5345,478,Mildura (RC),142.190619,-34.252489,Government,1,3208 Fifteenth Street P O Box 716
3703,Glen Huntly Primary School,Primary,Glen Huntly,VIC,3163,03 9571 2933,231,Glen Eira (C),145.0462294,-37.89377084,Government,1,Grange Road P O Box 62
3708,Nanneella Estate Primary School,Primary,Nanneella,VIC,3561,03 5484 5395,137,Campaspe (S),144.778037,-36.312971,Government,1,159 Bennett Road
3709,Wantirna Primary School,Primary,Wantirna,VIC,3152,03 9801 1938,367,Knox (C),145.21662,-37.856064,Government,1,120 Mountain Highway
3716,Wonthaggi North Primary School,Primary,Wonthaggi,VIC,3995,03 5672 4697,74,Bass Coast (S),145.600234,-38.59882,Government,1,Cnr White & Wentworth Road P O Box 106
3717,Melton South Primary School,Primary,Melton South,VIC,3338,03 9743 2922,465,Melton (C),144.574217,-37.708427,Government,1,34 - 46 Exford Road P O Box 2043
3729,Chelsea Primary School,Primary,Chelsea,VIC,3196,03 9773 2055,343,Kingston (C),145.122642,-38.0555,Government,1,34-44 Argyle Ave ARGYLE AVE
3738,Nowa Nowa Primary School,Primary,Nowa Nowa,VIC,3887,03 5155 7225,211,East Gippsland (S),148.092546,-37.72662,Government,1,Gorge Road
3754,Hampton Primary School,Primary,Hampton,VIC,3188,03 9598 1412,91,Bayside (C),145.003476,-37.93339,Government,1,528 Hampton Street PO Box 97
3774,Victorian College For The Deaf,Special,Melbourne,VIC,3004,03 9510 1706,460,Melbourne (C),144.982306,-37.849774,Government,1,597 St Kilda Road P O Box 6306
3787,Balliang East Primary School,Primary,Balliang East,VIC,3340,03 5369 5148,515,Moorabool (S),144.4153538,-37.79497592,Government,1,4 School Road
3790,Edithvale Primary School,Primary,Edithvale,VIC,3196,03 9772 1393,343,Kingston (C),145.11297,-38.037494,Government,1,Edithvale Road
3805,Orrvale Primary School,Primary,Orrvale,VIC,3631,03 5829 2490,283,Greater Shepparton (C),145.440539,-36.410409,Government,1,300 Channel Road
3806,Penders Grove Primary School,Primary,Thornbury,VIC,3071,03 9484 1076,189,Darebin (C),145.01427,-37.754517,Government,1,370 Victoria Road
3819,Underbool Primary School,Primary,Underbool,VIC,3509,03 5094 6342,478,Mildura (RC),141.814054,-35.170573,Government,1,67 Cotter Street P O Box 43
3820,Caulfield Junior College,Primary,Caulfield North,VIC,3161,03 9509 6872,231,Glen Eira (C),145.021561,-37.87211,Government,1,186 Balaclava Road
3835,Seaford Primary School,Primary,Seaford,VIC,3198,03 9786 1357,217,Frankston (C),145.130496,-38.104436,Government,1,Mcrae Street McRae Street
3841,Wattle Park Primary School,Primary,Burwood,VIC,3125,03 9808 2165,698,Whitehorse (C),145.098115,-37.843404,Government,1,225 Warrigal Road
3859,Murrabit Group School,Primary,Murrabit,VIC,3579,03 5457 2284,225,Gannawarra (S),143.950749,-35.528838,Government,1,61 Browning Avenue P O Box 42
3885,Preston West Primary School,Primary,Preston,VIC,3072,03 9470 1546,189,Darebin (C),144.99553,-37.737366,Government,1,383 Murray Road 383 MURRAY ROAD
3889,Thornbury Primary School,Primary,Thornbury,VIC,3071,03 9484 3254,189,Darebin (C),144.996748,-37.755425,Government,1,16-22 Hutton Street 16 - 22 Hutton Street
3890,Footscray West Primary School,Primary,West Footscray,VIC,3012,03 9687 1535,433,Maribyrnong (C),144.875221,-37.794938,Government,1,Argyle Street
3892,Wandin North Primary School,Primary,Wandin North,VIC,3139,03 5964 4570,745,Yarra Ranges (S),145.4089739,-37.76955183,Government,1,220 Warburton Highway P O Box 271
3897,Gardenvale Primary School,Primary,Brighton East,VIC,3187,03 9596 2871,91,Bayside (C),145.015034,-37.904679,Government,1,66 Landcox Street
3899,Beaumaris Primary School,Primary,Beaumaris,VIC,3193,03 9589 2619,91,Bayside (C),145.037586,-37.985272,Government,1,79-99 Dalgetty Road P O Box 6140
3907,Currawa Primary School,Primary,Dookie Campus,VIC,3647,03 5828 6581,283,Greater Shepparton (C),145.7037867,-36.38474876,Government,1,2 Ridge Road
3916,Echuca West Primary School,Primary,Echuca,VIC,3564,03 5482 2263,137,Campaspe (S),144.710009,-36.165355,Government,1,189 Echuca West School Road
3920,Cann River P-12 College,Pri/Sec,Cann River,VIC,3890,03 5158 6245,211,East Gippsland (S),149.153022,-37.5697,Government,1,20-24 Tamboon Road 20-24 Tamboon
3923,Altona Primary School,Primary,Altona,VIC,3018,03 9398 2925,311,Hobsons Bay (C),144.822742,-37.867708,Government,1,109 Blyth Street P O Box 127
3924,Devon Meadows Primary School,Primary,Devon Meadows,VIC,3977,03 5998 2304,161,Casey (C),145.301456,-38.162318,Government,1,"Worthing Road Worthing Road,"
3926,Upper Ferntree Gully Primary School,Primary,Upper Ferntree Gully,VIC,3156,03 9758 1527,367,Knox (C),145.314325,-37.895604,Government,1,Talaskia Road P O Box 7030
3931,Eildon Primary School,Primary,Eildon,VIC,3713,03 5774 2074,562,Murrindindi (S),145.906761,-37.233967,Government,1,45 High Street
3933,Bittern Primary School,Primary,Bittern,VIC,3918,03 5983 9590,534,Mornington Peninsula (S),145.171678,-38.339857,Government,1,Portsmouth Road P O Box 3
3936,Colbinabbin Primary School,Primary,Colbinabbin,VIC,3559,03 5432 9330,137,Campaspe (S),144.801658,-36.589881,Government,1,56 Mitchell Street
3937,Stanhope Primary School,Primary,Stanhope,VIC,3623,03 5857 2514,137,Campaspe (S),144.988016,-36.448102,Government,1,Midland Highway P O Box 19
3939,Hurstbridge Primary School,Primary,Hurstbridge,VIC,3099,03 9718 2386,571,Nillumbik (S),145.1980792,-37.63616612,Government,1,Main Road
3941,Coburg West Primary School,Primary,Coburg,VIC,3058,03 9386 1286,525,Moreland (C),144.947624,-37.74715,Government,1,Reynard Street REYNARD STREET
3942,Elwood Primary School,Primary,Elwood,VIC,3184,03 9531 2762,590,Port Phillip (C),144.988364,-37.881505,Government,1,Scott Street
3943,Mont Albert Primary School,Primary,Mont Albert,VIC,3127,03 9890 1331,698,Whitehorse (C),145.102727,-37.813079,Government,1,Barloa Road
3944,Dhurringile Primary School,Primary,Dhurringile,VIC,3610,03 5826 6222,283,Greater Shepparton (C),145.239786,-36.543203,Government,1,605 Langham Road
3947,Strathewen Primary School,Primary,Strathewen,VIC,3099,03 9714 8278,571,Nillumbik (S),145.269894,-37.547468,Government,1,5 School Ridge Road
3956,Don Valley Primary School,Primary,Don Valley,VIC,3139,03 5967 3321,745,Yarra Ranges (S),145.5874128,-37.76019989,Government,1,Old Dalry Road
3960,Reservoir Primary School,Primary,Reservoir,VIC,3073,03 9460 5798,189,Darebin (C),145.00677,-37.71142,Government,1,Duffy Street PO Box 69
3967,Yallourn North Primary School,Primary,Yallourn North,VIC,3825,03 5167 1233,381,Latrobe (C),146.362224,-38.163208,Government,1,2A Reserve Street
3968,Toorloo Arm Primary School,Primary,Lake Tyers Beach,VIC,3909,03 5156 5517,211,East Gippsland (S),148.05097,-37.852539,Government,1,315 Lake Tyers Beach Road
3971,Girgarre Primary School,Primary,Girgarre,VIC,3624,03 5854 6275,137,Campaspe (S),144.973758,-36.398106,Government,1,528 Winter Road P O Box 75
3976,Yaapeet Primary School,Primary,Yaapeet,VIC,3424,03 5395 7260,763,Yarriambiack (S),142.057154,-35.768504,Government,1,4 Woods Street P O Box 32
3982,Gladysdale Primary School,Primary,Gladysdale,VIC,3797,03 5966 6202,745,Yarra Ranges (S),145.6509863,-37.82025309,Government,1,550 Little Yarra Road
3983,Mildura West Primary School,Primary,Mildura,VIC,3500,03 5023 1336,478,Mildura (RC),142.151865,-34.179621,Government,1,219-227 Ninth Street
3987,Moonee Ponds Primary School,Primary,Moonee Ponds,VIC,3039,03 9375 2511,506,Moonee Valley (C),144.933694,-37.763411,Government,1,87 Wilson Street
3988,Kingsville Primary School,Primary,Yarraville,VIC,3013,03 9314 5869,433,Maribyrnong (C),144.874657,-37.812595,Government,1,58 Bishop Street
3993,Kallista Primary School,Primary,Kallista,VIC,3791,03 9755 2633,745,Yarra Ranges (S),145.3704501,-37.88529605,Government,1,72 Monbulk Road P O Box 23A
4015,Essendon North Primary School,Primary,Essendon North,VIC,3041,03 9379 3979,506,Moonee Valley (C),144.903031,-37.741493,Government,1,112 Keilor Road
4025,Ascot Vale West Primary School,Primary,Ascot Vale,VIC,3032,03 9370 8784,506,Moonee Valley (C),144.911125,-37.78068,Government,1,Langs Rd P O Box 154
4041,Welton Primary School,Primary,Torrumbarry,VIC,3562,03 5487 7285,137,Campaspe (S),144.500259,-35.988829,Government,1,140 Welton School Road
4055,Hartwell Primary School,Primary,Camberwell,VIC,3124,03 9889 4012,111,Boroondara (C),145.084152,-37.847935,Government,1,Milverton St
4057,Red Cliffs Primary School,Primary,Red Cliffs,VIC,3496,03 5024 1044,478,Mildura (RC),142.185312,-34.311566,Government,1,Murray Avenue P O Box 306
4060,Wattle Glen Primary School,Primary,Wattle Glen,VIC,3096,03 9438 1259,571,Nillumbik (S),145.1819987,-37.66811028,Government,1,16-24 Reynolds Road PO Box 332
4062,Hampton Park Primary School,Primary,Hampton Park,VIC,3976,03 9799 1440,161,Casey (C),145.252943,-38.030464,Government,1,Somerville Road
4064,Colac West Primary School,Primary,Colac,VIC,3250,03 5231 2479,175,Colac-Otway (S),143.579749,-38.336417,Government,1,12 Ligar Street Post Office Box 268
4087,Ripponlea Primary School,Primary,St Kilda East,VIC,3183,03 9527 5728,231,Glen Eira (C),145.005124,-37.874706,Government,1,25 Carrington Grove
4098,Noojee Primary School,Primary,Noojee,VIC,3833,03 5628 9558,83,Baw Baw (S),146.007862,-37.895136,Government,1,65 School Road P O Box 90
4112,Montmorency Primary School,Primary,Montmorency,VIC,3094,03 9434 5944,66,Banyule (C),145.121599,-37.717652,Government,1,Rattray Road P O Box 42 Rattray Road
4117,Moriac Primary School,Primary,Moriac,VIC,3240,03 5266 1298,649,Surf Coast (S),144.175572,-38.24138556,Government,1,785 Hendy Main Road
4120,Ringwood North Primary School,Primary,Ringwood North,VIC,3134,03 9876 3411,441,Maroondah (C),145.230739,-37.79313,Government,1,172 Oban Road P O Box 2312
4123,Red Cliffs East Primary School,Primary,Red Cliffs,VIC,3496,03 5024 1147,478,Mildura (RC),142.214274,-34.305108,Government,1,Block 67a Nerrum Avenue P O Box 320
4139,Lloyd Street Primary School,Primary,Malvern East,VIC,3145,03 9573 4600,635,Stonnington (C),145.056108,-37.872416,Government,1,Lloyd Street 6- 10 Lloyd Street
4143,Bayswater North Primary School,Primary,Bayswater North,VIC,3153,03 9729 1744,441,Maroondah (C),145.295621,-37.8288,Government,1,Stuart Street
4158,Westbreen Primary School,Primary,Pascoe Vale,VIC,3044,03 9306 9481,525,Moreland (C),144.936217,-37.716056,Government,1,2-10 Pascoe Street
4159,Point Cook Prep - Year 9 College,Pri/Sec,Point Cook,VIC,3030,03 8348 7100,726,Wyndham (C),144.725689,-37.893593,Government,1,18 - 50 Ponsford Drive P O Box 6497
4160,Footscray North Primary School,Primary,Footscray,VIC,3011,03 9317 9047,433,Maribyrnong (C),144.883372,-37.787746,Government,1,14 Rosamond Road P O Box 4253
4169,Airly Primary School,Primary,Airly,VIC,3851,03 5149 8251,681,Wellington (S),147.113897,-38.025712,Government,1,226 Airly Estate Road
4170,Camberwell South Primary School,Primary,Glen Iris,VIC,3146,03 9889 4295,111,Boroondara (C),145.062612,-37.847905,Government,1,Peate Avenue PEATE AVENUE
4171,Parkdale Primary School,Primary,Parkdale,VIC,3195,03 9580 1451,343,Kingston (C),145.082916,-37.992693,Government,1,305-311 Nepean Highway P O Box 2124
4176,Hughesdale Primary School,Primary,Hughesdale,VIC,3166,03 9570 4808,497,Monash (C),145.077639,-37.905839,Government,1,Brine Street
4177,Westgarth Primary School,Primary,Northcote,VIC,3070,03 9481 5577,189,Darebin (C),145.005561,-37.776471,Government,1,45 Brooke St & 311 Clarke St P O Box 59
4183,Auburn South Primary School,Primary,Hawthorn East,VIC,3123,03 9882 2140,111,Boroondara (C),145.044744,-37.83953,Government,1,419 Tooronga Road
4193,Aspendale Primary School,Primary,Aspendale,VIC,3195,03 9580 3255,343,Kingston (C),145.099756,-38.020273,Government,1,23 Laura Street
4212,Eltham North Primary School,Primary,Eltham North,VIC,3095,03 9439 9639,571,Nillumbik (S),145.1508655,-37.70011091,Government,1,35-47 Wattletree Road
4215,Merrivale Primary School,Primary,Warrnambool,VIC,3280,03 5562 7172,673,Warrnambool (C),142.456146,-38.378018,Government,1,158 Merrivale Drive P O Box 394
4217,Dandenong West Primary School,Primary,Dandenong,VIC,3175,03 9792 2868,267,Greater Dandenong (C),145.200416,-37.980741,Government,1,32 Birdwood Avenue
4219,Yarra Road Primary School,Primary,Croydon,VIC,3136,03 9723 4182,441,Maroondah (C),145.272227,-37.766401,Government,1,222 - 228 Yarra Road
4220,Aberfeldie Primary School,Primary,Essendon,VIC,3040,03 9337 8084,506,Moonee Valley (C),144.895552,-37.7566,Government,1,1 Doone Street
4224,Manifold Heights Primary School,Primary,Manifold Heights,VIC,3218,03 5229 9643,275,Greater Geelong (C),144.332835,-38.136151,Government,1,20-24 Strachan Avenue
4226,Nungurner Primary School,Primary,Nungurner,VIC,3909,03 5156 3232,211,East Gippsland (S),147.888387,-37.865917,Government,1,455 Nungurner Road
4257,Dingley Primary School,Primary,Dingley Village,VIC,3172,03 9551 3555,343,Kingston (C),145.131935,-37.982679,Government,1,111-115 Centre Dandenong Road P O Box 79
